list_id,trial,item_id,question,clip_A,clip_B,edited_is,original_clip,edited_clip,edit_text,shows_lyrics
0,1,4479e666dd,longer_section,01ec9bafdd.wav,54c59f1b32.wav,B,01ec9bafdd.wav,54c59f1b32.wav,the middle section should be 4 bars LONGER,False
0,2,acc04d688c,matches_lyrics,ae8858dc03.wav,cc56aaae1d.wav,A,cc56aaae1d.wav,ae8858dc03.wav,the middle section should sing the NEW words shown on screen,True
0,3,dadf80372a,matches_lyrics,69d362ba98.wav,a8f0e02fff.wav,B,69d362ba98.wav,a8f0e02fff.wav,the middle section should sing the NEW words shown on screen,True
0,4,b3b83a185d,higher_key,a04b661cf6.wav,09ddddbf6f.wav,B,a04b661cf6.wav,09ddddbf6f.wav,the song should be transposed DOWN by 3 semitones (a minor third),False
0,5,d116b47491,longer_section,248ef967b2.wav,e476d59488.wav,B,248ef967b2.wav,e476d59488.wav,the middle section should be 4 bars LONGER,False
0,6,301de861ba,longer_section,bb922e189b.wav,5352d8b038.wav,B,bb922e189b.wav,5352d8b038.wav,the middle section should be 4 bars SHORTER,False
0,7,f06aab3137,higher_key,083381394f.wav,7fc720fe8b.wav,A,7fc720fe8b.wav,083381394f.wav,the song should be transposed UP by 5 semitones (a perfect fourth),False
0,8,7e3197cdc2,longer_section,bdc367ca6b.wav,8e3e15737e.wav,A,8e3e15737e.wav,bdc367ca6b.wav,the middle section should be 4 bars LONGER,False
0,9,4ba49b4dca,longer_section,d2f17098fb.wav,378afaafc8.wav,B,d2f17098fb.wav,378afaafc8.wav,the middle section should be 4 bars LONGER,False
0,10,21e9766e03,longer_section,b7b0f17126.wav,912031d669.wav,B,b7b0f17126.wav,912031d669.wav,the middle section should be 4 bars SHORTER,False
0,11,dfe7738892,matches_lyrics,208f29f868.wav,4eb40dc4f3.wav,B,208f29f868.wav,4eb40dc4f3.wav,the middle section should sing the NEW words shown on screen,True
0,12,a7de748e77,longer_section,eb29ff92bc.wav,219f613d6d.wav,A,219f613d6d.wav,eb29ff92bc.wav,the middle section should be 4 bars LONGER,False
0,13,5cf51318b8,longer_section,507811e0f0.wav,03ffa7ba71.wav,A,03ffa7ba71.wav,507811e0f0.wav,,False
0,14,6e0d291ce3,longer_section,89a27e77b8.wav,af2400e928.wav,A,af2400e928.wav,89a27e77b8.wav,the middle section should be 4 bars LONGER,False
0,15,3e8ea99323,longer_section,9a912892aa.wav,9c4766157e.wav,B,9a912892aa.wav,9c4766157e.wav,the middle section should be 4 bars SHORTER,False
0,16,5ee70d70ea,matches_lyrics,b15679a7f7.wav,26d82d3b0d.wav,B,b15679a7f7.wav,26d82d3b0d.wav,the middle section should sing the NEW words shown on screen,True
0,17,be397f82b3,longer_section,8fdeeb391e.wav,5a02a59be0.wav,A,5a02a59be0.wav,8fdeeb391e.wav,the middle section should be 4 bars LONGER,False
0,18,09f761724a,higher_key,b71c7b2d35.wav,a35515984b.wav,A,a35515984b.wav,b71c7b2d35.wav,the song should be transposed UP by 5 semitones (a perfect fourth),False
0,19,e46fd2ecb9,longer_section,b28eb7b21b.wav,80553ef9a0.wav,B,b28eb7b21b.wav,80553ef9a0.wav,the middle section should be 4 bars LONGER,False
0,20,1657a00435,higher_key,ab808b9b49.wav,60eb41131e.wav,B,ab808b9b49.wav,60eb41131e.wav,the song should be transposed UP by 5 semitones (a perfect fourth),False
0,21,146147c231,longer_section,cf9554d667.wav,648d9d4b76.wav,A,648d9d4b76.wav,cf9554d667.wav,the middle section should be 4 bars LONGER,False
0,22,4c37e4d031,matches_lyrics,ce5d18b3dc.wav,596c3fd86c.wav,B,ce5d18b3dc.wav,596c3fd86c.wav,the middle section should sing the NEW words shown on screen,True
0,23,32de453755,higher_key,881811663d.wav,29b038d0d5.wav,B,881811663d.wav,29b038d0d5.wav,the song should be transposed DOWN by 3 semitones (a minor third),False
0,24,2fb2d21f9f,higher_key,b1be91906a.wav,a16fd97c5e.wav,A,a16fd97c5e.wav,b1be91906a.wav,the song should be transposed DOWN by 3 semitones (a minor third),False
0,25,97c3cb6cbb,higher_key,2934d76a00.wav,8d3f631edf.wav,A,8d3f631edf.wav,2934d76a00.wav,the song should be transposed UP by 5 semitones (a perfect fourth),False
0,26,b831be80f6,longer_section,39d31e0bcd.wav,8ebab0908e.wav,B,39d31e0bcd.wav,8ebab0908e.wav,the middle section should be 4 bars SHORTER,False
0,27,26a83887fd,longer_section,9ec3e92b18.wav,77fbb9421f.wav,A,77fbb9421f.wav,9ec3e92b18.wav,the middle section should be 4 bars SHORTER,False
0,28,dcff3953eb,higher_key,536fbaacfc.wav,7d161b6c07.wav,A,7d161b6c07.wav,536fbaacfc.wav,the song should be transposed UP by 5 semitones (a perfect fourth),False
0,29,394e308dcf,matches_lyrics,01a4b24ba3.wav,418551e400.wav,A,418551e400.wav,01a4b24ba3.wav,the middle section should sing the NEW words shown on screen,True
0,30,7a0bb9ce0d,higher_key,fd397bd5b1.wav,1434cc11d2.wav,B,fd397bd5b1.wav,1434cc11d2.wav,the song should be transposed DOWN by 3 semitones (a minor third),False
0,31,46d1d24f3a,higher_key,ef862af2a8.wav,f1e95c6fc6.wav,A,f1e95c6fc6.wav,ef862af2a8.wav,the song should be transposed DOWN by 3 semitones (a minor third),False
0,32,2aeff3e56e,matches_lyrics,8a0aaf8cf7.wav,752a33871f.wav,A,752a33871f.wav,8a0aaf8cf7.wav,the middle section should sing the NEW words shown on screen,True
0,33,c200ff04da,longer_section,bb6cc6f9d8.wav,7169daf605.wav,A,7169daf605.wav,bb6cc6f9d8.wav,the middle section should be 4 bars SHORTER,False
0,34,0b6ede76ea,higher_key,6003fe3596.wav,5cac66f39a.wav,A,5cac66f39a.wav,6003fe3596.wav,the song should be transposed UP by 5 semitones (a perfect fourth),False
0,35,7165182d76,matches_lyrics,42254d017a.wav,704ba1460b.wav,B,42254d017a.wav,704ba1460b.wav,the middle section should sing the NEW words shown on screen,True
0,36,de7cf8fc82,higher_key,0ad44e8daf.wav,27cf2d76e0.wav,A,27cf2d76e0.wav,0ad44e8daf.wav,the song should be transposed UP by 5 semitones (a perfect fourth),False
0,37,6a773a9990,longer_section,f22f6f8368.wav,ab36abc0e6.wav,A,ab36abc0e6.wav,f22f6f8368.wav,the middle section should be 4 bars SHORTER,False
